customer,location,type,Date
1,SSP-CPS,borrow,"May 25, 2022"
2,SSP-CPS,borrow,"May 25, 2022"
3,SSP-CPS,borrow,"May 25, 2022"
4,SSP-CPS,borrow,"May 25, 2022"
5,SSP-CPS,borrow,"May 25, 2022"
6,SSP-CPS,borrow,"May 25, 2022"
7,SSP-CPS,borrow,"May 25, 2022"
8,SSP-CPS,borrow,"May 25, 2022"
4,SSP-CPS,return,"May 25, 2022"
6,SSP-CPS,return,"May 25, 2022"
2,SSP-CPS,return,"May 25, 2022"
4,SSP-CPS,borrow,"May 26, 2022"
9,SSP-CPS,borrow,"May 26, 2022"
10,SSP-CPS,borrow,"May 26, 2022"
11,SSP-CPS,borrow,"May 26, 2022"
12,SSP-CPS,borrow,"May 26, 2022"
13,SSP-CPS,borrow,"May 26, 2022"
2,SSP-CPS,borrow,"May 26, 2022"
14,SSP-CPS,borrow,"May 26, 2022"
15,SSP-CPS,borrow,"May 26, 2022"
16,SSP-CPS,borrow,"May 26, 2022"
17,SSP-CPS,borrow,"May 26, 2022"
8,SSP-CPS,return,"May 26, 2022"
6,SSP-CPS,borrow,"May 26, 2022"
18,SSP-CPS,borrow,"May 26, 2022"
19,SSP-CPS,borrow,"May 26, 2022"
17,SSP-CPS,return,"May 26, 2022"
10,SSP-CPS,return,"May 26, 2022"
10,SSP-CPS,return,"May 26, 2022"
19,SSP-CPS,borrow,"May 27, 2022"
10,SSP-CPS,borrow,"May 27, 2022"
16,SSP-CPS,return,"May 27, 2022"
20,SSP-CPS,borrow,"May 27, 2022"
21,SSP-CPS,borrow,"May 27, 2022"
22,SSP-CPS,borrow,"May 27, 2022"
23,SSP-CPS,borrow,"May 27, 2022"
24,SSP-CPS,borrow,"May 27, 2022"
25,SSP-CPS,borrow,"May 27, 2022"
26,SSP-CPS,borrow,"May 27, 2022"
27,SSP-CPS,borrow,"May 27, 2022"
28,SSP-CPS,borrow,"May 27, 2022"
29,SSP-CPS,borrow,"May 27, 2022"
